,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,75.79,96,100,3.96,overcast clouds
214,Pokhara,NP,28.23,83.98,58.82,33,100,2.26,overcast clouds
215,Puerto Del Rosario,ES,28.5,-13.86,64.4,72,40,17.22,scattered clouds
216,Verkhnyaya Toyma,RU,62.23,45.0,29.17,98,90,2.19,overcast clouds
217,Sur,OM,22.57,59.53,73.47,57,0,10.83,clear sky
218,Ixtapa,MX,20.7,-105.2,82.4,74,5,11.41,clear sky
219,Scottsbluff,US,41.87,-103.67,60.8,15,1,10.29,clear sky
220,Upernavik,GL,72.79,-56.15,6.58,89,76,9.98,broken clouds
221,Caravelas,BR,-17.71,-39.25,75.02,84,0,8.43,clear sky
222,Inyonga,TZ,-6.72,32.07,67.64,82,59,3.74,broken clouds
223,Kahului,US,20.89,-156.47,86.0,51,40,21.92,scattered clouds
224,Portoferraio,IT,42.81,10.31,55.0,80,92,8.28,overcast clouds
225,Victoria,HK,22.29,114.16,73.0,82,58,15.19,broken clouds
226,Lorengau,PG,-2.02,147.27,84.0,74,78,5.28,light rain
227,Terlizzi,IT,41.13,16.55,48.0,93,20,6.93,few clouds
228,Chokurdakh,RU,70.63,147.92,0.59,94,100,15.37,overcast clouds
229,Murbad,IN,19.25,73.4,77.0,69,60,3.69,haze
230,Savanur,IN,14.97,75.35,68.5,81,33,11.21,scattered clouds
231,Half Moon Bay,US,37.46,-122.43,60.01,66,1,18.34,clear sky
232,Jiazi,CN,22.88,116.07,67.59,87,58,7.65,broken clouds
233,Huarmey,PE,-10.07,-78.15,65.23,76,30,8.34,scattered clouds
234,Buchanan,LR,5.88,-10.05,77.0,94,75,5.82,thunderstorm
235,Kutum,SD,14.2,24.67,63.32,27,37,10.11,scattered clouds
236,Tawau,MY,4.25,117.89,73.4,100,20,2.24,few clouds
237,Boa Vista,BR,2.82,-60.67,77.0,94,90,5.82,overcast clouds
238,Khatanga,RU,71.97,102.5,11.37,96,99,11.34,overcast clouds
239,Xushan,CN,30.18,121.25,55.99,93,75,6.71,broken clouds
240,Adrar,MR,20.5,-10.07,65.71,25,74,6.55,broken clouds
241,Garden City,US,42.33,-83.33,50.0,93,90,10.29,mist
242,Ola,RU,59.58,151.28,-0.18,83,0,9.4,clear sky
243,Constitucion,CL,-35.33,-72.42,61.9,63,0,20.13,clear sky
244,Grindavik,IS,63.84,-22.43,39.2,100,90,41.38,heavy intensity rain
245,Zhigansk,RU,66.77,123.37,-5.76,90,95,13.42,overcast clouds
246,Wyszkow,PL,52.59,21.46,28.99,86,34,7.0,scattered clouds
247,Nouadhibou,MR,20.93,-17.03,69.8,52,0,12.75,clear sky
248,Dingle,PH,11.0,122.67,76.71,90,96,8.41,overcast clouds
249,Dunedin,NZ,-45.87,170.5,60.01,69,58,25.01,broken clouds
250,Malindi,KE,-3.22,40.12,79.14,86,16,6.02,few clouds
251,Tall Kayf,TR,37.08,41.07,53.92,60,100,12.01,overcast clouds
252,Laguna,US,38.42,-121.42,62.6,36,1,12.75,clear sky
253,Nynashamn,SE,58.9,17.95,46.99,67,100,17.22,overcast clouds
254,Bethel,US,41.37,-73.41,48.2,66,1,3.36,clear sky
255,Rorvik,NO,64.86,11.24,37.4,100,40,2.24,scattered clouds
256,Krasyliv,UA,49.65,26.97,32.14,93,5,3.53,clear sky
257,Salalah,OM,17.02,54.09,73.4,33,0,6.93,clear sky
258,Faanui,PF,-16.48,-151.75,80.35,81,48,14.03,moderate rain
259,Namatanai,PG,-3.67,152.43,84.67,67,21,7.96,few clouds
260,Meulaboh,ID,4.14,96.13,75.69,87,35,4.41,scattered clouds
261,Portland,US,45.52,-122.68,50.0,76,90,8.05,overcast clouds
262,Lerwick,GB,60.15,-1.15,39.2,86,71,9.17,broken clouds
263,Sibolga,ID,1.74,98.78,75.67,80,89,2.77,overcast clouds
264,Itacoatiara,BR,-3.14,-58.44,74.52,97,100,1.7,overcast clouds
265,Garmsar,IR,35.22,52.34,46.35,70,35,1.48,scattered clouds
266,Pecos,US,31.42,-103.49,69.8,18,1,4.7,clear sky
267,Trapani,IT,37.83,12.67,61.0,87,0,3.36,clear sky
268,Wanning,CN,18.8,110.4,74.62,88,86,12.08,overcast clouds
269,Necochea,AR,-38.55,-58.74,70.0,54,26,5.46,scattered clouds
270,Samarai,PG,-10.62,150.67,82.02,75,100,13.78,overcast clouds
271,Adeje,ES,28.12,-16.73,68.0,64,20,4.7,few clouds
272,San Patricio,US,28.02,-97.52,78.8,47,40,9.17,scattered clouds
273,Olafsvik,IS,64.89,-23.71,41.86,91,100,47.11,moderate rain
274,Carnarvon,AU,-24.87,113.63,69.8,88,0,18.34,clear sky
275,Naushahro Firoz,PK,26.84,68.12,58.24,56,0,8.72,clear sky
276,Nador,MA,35.17,-2.93,62.6,77,0,6.62,clear sky
277,Vung Tau,VN,10.35,107.08,79.12,74,49,13.09,light rain
